term,IDSeasonYearHerd,estimate,estimate_fix,estimate_id,ANIMAL_ID,SEASON,YEAR,HERD
bufConiferScrub,sc2006016_winter_2008_BUCHANS,-3.76332230973134,0.232619552387864,-3.53070275734348,sc2006016,winter,2008,BUCHANS
bufConiferScrub,sc2007067_calving_2007_LAPOILE,0.703357621359015,0.232619552387864,0.935977173746879,sc2007067,calving,2007,LAPOILE
bufConiferScrub,sc2006018_calving_2009_BUCHANS,3.04146355299244,0.232619552387864,3.2740831053803,sc2006018,calving,2009,BUCHANS
bufConiferScrub,sc2006016_winter_2006_BUCHANS,-2.9515161751808,0.232619552387864,-2.71889662279293,sc2006016,winter,2006,BUCHANS
bufConiferScrub,sc2006018_winter_2007_BUCHANS,-0.635562824988449,0.232619552387864,-0.402943272600585,sc2006018,winter,2007,BUCHANS
bufConiferScrub,sc2006016_winter_2009_BUCHANS,-0.520943185365959,0.232619552387864,-0.288323632978095,sc2006016,winter,2009,BUCHANS
bufConiferScrub,sc2007067_calving_2008_LAPOILE,0.274154875959403,0.232619552387864,0.506774428347267,sc2007067,calving,2008,LAPOILE
bufConiferScrub,sc2006018_calving_2010_BUCHANS,1.49740115236976,0.232619552387864,1.73002070475763,sc2006018,calving,2010,BUCHANS
bufConiferScrub,sc2006016_winter_2007_BUCHANS,-0.258492121334913,0.232619552387864,-0.0258725689470491,sc2006016,winter,2007,BUCHANS
bufConiferScrub,sc2006018_winter_2008_BUCHANS,-2.07248617643406,0.232619552387864,-1.8398666240462,sc2006018,winter,2008,BUCHANS
bufConiferScrub,sc2006016_winter_2010_BUCHANS,-5.41014619163773,0.232619552387864,-5.17752663924986,sc2006016,winter,2010,BUCHANS
bufConiferScrub,sc2007067_calving_2009_LAPOILE,0.220081453377773,0.232619552387864,0.452701005765637,sc2007067,calving,2009,LAPOILE
bufConiferScrub,sc2006018_winter_2006_BUCHANS,-2.43933263791577,0.232619552387864,-2.20671308552791,sc2006018,winter,2006,BUCHANS
bufConiferScrub,sc2007067_calving_2012_LAPOILE,0.924175041483258,0.232619552387864,1.15679459387112,sc2007067,calving,2012,LAPOILE
bufConiferScrub,sc2006018_winter_2009_BUCHANS,-0.679797711249708,0.232619552387864,-0.447178158861844,sc2006018,winter,2009,BUCHANS
bufConiferScrub,sc2006016_winter_2011_BUCHANS,-1.70476534057459,0.232619552387864,-1.47214578818672,sc2006016,winter,2011,BUCHANS
bufConiferScrub,sc2007067_calving_2010_LAPOILE,0.796636334694015,0.232619552387864,1.02925588708188,sc2007067,calving,2010,LAPOILE
bufConiferScrub,sc2006017_calving_2006_BUCHANS,-0.0738858743293387,0.232619552387864,0.158733678058525,sc2006017,calving,2006,BUCHANS
bufConiferScrub,sc2007067_winter_2007_LAPOILE,-3.03028917420825,0.232619552387864,-2.79766962182038,sc2007067,winter,2007,LAPOILE
bufConiferScrub,sc2006018_winter_2010_BUCHANS,-8.97725402291743,0.232619552387864,-8.74463447052957,sc2006018,winter,2010,BUCHANS
bufConiferScrub,sc2006016_winter_2012_BUCHANS,-5.04379297938044,0.232619552387864,-4.81117342699258,sc2006016,winter,2012,BUCHANS
bufConiferScrub,sc2007067_calving_2011_LAPOILE,1.40201133227818,0.232619552387864,1.63463088466605,sc2007067,calving,2011,LAPOILE
bufConiferScrub,mr2009a11_winter_2010_MIDRIDGE,-2.65348500892795,0.232619552387864,-2.42086545654008,mr2009a11,winter,2010,MIDRIDGE
bufConiferScrub,sc2007067_winter_2008_LAPOILE,0.254772560770622,0.232619552387864,0.487392113158486,sc2007067,winter,2008,LAPOILE
bufConiferScrub,sc2006018_winter_2011_BUCHANS,-0.215456493686684,0.232619552387864,0.0171630587011799,sc2006018,winter,2011,BUCHANS
bufConiferScrub,sc2006016_winter_2013_BUCHANS,-0.290364461051714,0.232619552387864,-0.0577449086638503,sc2006016,winter,2013,BUCHANS
bufConiferScrub,sc2007055_calving_2010_LAPOILE,1.47890576581661,0.232619552387864,1.71152531820448,sc2007055,calving,2010,LAPOILE
bufConiferScrub,mr2009a11_winter_2011_MIDRIDGE,-1.0959845357236,0.232619552387864,-0.863364983335732,mr2009a11,winter,2011,MIDRIDGE
bufConiferScrub,sc2007067_winter_2009_LAPOILE,1.468335792605,0.232619552387864,1.70095534499287,sc2007067,winter,2009,LAPOILE
bufConiferScrub,sc2006019_calving_2006_BUCHANS,0.893948741101567,0.232619552387864,1.12656829348943,sc2006019,calving,2006,BUCHANS
bufConiferScrub,sc2007067_winter_2012_LAPOILE,2.5402655071182,0.232619552387864,2.77288505950606,sc2007067,winter,2012,LAPOILE
bufConiferScrub,sc2007055_calving_2011_LAPOILE,1.34835136762824,0.232619552387864,1.58097092001611,sc2007055,calving,2011,LAPOILE
bufConiferScrub,mr2009a11_winter_2012_MIDRIDGE,-0.310457636256991,0.232619552387864,-0.0778380838691274,mr2009a11,winter,2012,MIDRIDGE
bufConiferScrub,sc2007067_winter_2010_LAPOILE,-0.457609265375749,0.232619552387864,-0.224989712987885,sc2007067,winter,2010,LAPOILE
bufConiferScrub,sc2006019_calving_2007_BUCHANS,1.4308599275057,0.232619552387864,1.66347947989357,sc2006019,calving,2007,BUCHANS
bufConiferScrub,sc2007067_winter_2013_LAPOILE,0.232619552387864,0.232619552387864,0.465239104775728,sc2007067,winter,2013,LAPOILE
bufConiferScrub,mr2009a29_calving_2010_MIDRIDGE,1.22469289654172,0.232619552387864,1.45731244892958,mr2009a29,calving,2010,MIDRIDGE
bufConiferScrub,mr2009a13_calving_2009_MIDRIDGE,1.13946254434994,0.232619552387864,1.37208209673781,mr2009a13,calving,2009,MIDRIDGE
bufConiferScrub,sc2007067_winter_2011_LAPOILE,2.07781938121261,0.232619552387864,2.31043893360047,sc2007067,winter,2011,LAPOILE
bufConiferScrub,sc2006019_winter_2006_BUCHANS,0.383792803165582,0.232619552387864,0.616412355553446,sc2006019,winter,2006,BUCHANS
bufConiferScrub,sc2007068_calving_2007_LAPOILE,0.548790418467955,0.232619552387864,0.781409970855818,sc2007068,calving,2007,LAPOILE
bufConiferScrub,mr2009a29_winter_2009_MIDRIDGE,-0.712576661310609,0.232619552387864,-0.479957108922745,mr2009a29,winter,2009,MIDRIDGE
bufConiferScrub,mr2009a14_calving_2009_MIDRIDGE,1.42531412815819,0.232619552387864,1.65793368054605,mr2009a14,calving,2009,MIDRIDGE
bufConiferScrub,mr2009a30_calving_2010_MIDRIDGE,1.4010435410559,0.232619552387864,1.63366309344377,mr2009a30,calving,2010,MIDRIDGE
bufConiferScrub,sc2006019_winter_2007_BUCHANS,0.484144768813334,0.232619552387864,0.716764321201198,sc2006019,winter,2007,BUCHANS
bufConiferScrub,sc2007068_winter_2007_LAPOILE,-0.22789750500237,0.232619552387864,0.00472204738549364,sc2007068,winter,2007,LAPOILE
bufConiferScrub,mr2009a29_winter_2010_MIDRIDGE,-2.57003226120029,0.232619552387864,-2.33741270881243,mr2009a29,winter,2010,MIDRIDGE
bufConiferScrub,mr2009a14_calving_2010_MIDRIDGE,1.30339438437902,0.232619552387864,1.53601393676688,mr2009a14,calving,2010,MIDRIDGE
bufConiferScrub,mr2009a30_calving_2011_MIDRIDGE,1.20964171373538,0.232619552387864,1.44226126612324,mr2009a30,calving,2011,MIDRIDGE
bufConiferScrub,sc2006019_winter_2008_BUCHANS,1.14770791963972,0.232619552387864,1.38032747202758,sc2006019,winter,2008,BUCHANS
bufConiferScrub,sc2007068_winter_2008_LAPOILE,-0.561047434351889,0.232619552387864,-0.328427881964025,sc2007068,winter,2008,LAPOILE
bufConiferScrub,mr2009a29_winter_2011_MIDRIDGE,0.132991210784299,0.232619552387864,0.365610763172163,mr2009a29,winter,2011,MIDRIDGE
bufConiferScrub,mr2009a14_calving_2011_MIDRIDGE,1.71045828840691,0.232619552387864,1.94307784079478,mr2009a14,calving,2011,MIDRIDGE
bufConiferScrub,mr2009a30_calving_2012_MIDRIDGE,0.72158290448277,0.232619552387864,0.954202456870634,mr2009a30,calving,2012,MIDRIDGE
bufConiferScrub,sc2006022_calving_2006_TOPSAILS,0.209401507100614,0.232619552387864,0.442021059488478,sc2006022,calving,2006,TOPSAILS
bufConiferScrub,sc2007073_calving_2007_LAPOILE,0.463389203638352,0.232619552387864,0.696008756026216,sc2007073,calving,2007,LAPOILE
bufConiferScrub,sc2006022_calving_2009_TOPSAILS,1.02174772264182,0.232619552387864,1.25436727502969,sc2006022,calving,2009,TOPSAILS
bufConiferScrub,mr2009a14_winter_2009_MIDRIDGE,0.966196010789856,0.232619552387864,1.19881556317772,mr2009a14,winter,2009,MIDRIDGE
bufConiferScrub,mr2009a30_winter_2009_MIDRIDGE,-0.280264186101097,0.232619552387864,-0.0476446337132327,mr2009a30,winter,2009,MIDRIDGE
bufConiferScrub,sc2006022_calving_2007_TOPSAILS,1.14315468431449,0.232619552387864,1.37577423670235,sc2006022,calving,2007,TOPSAILS
